row,col,ToT_mean_200mV,ToT_mean_300mV,ToT_mean_400mV,ToT_mean_500mV,ToT_mean_600mV,ToT_mean_700mV,ToT_mean_800mV,ToT_mean_900mV,ToT_mean_1000mV
0,0,34.39526279876624,99.32003896035454,145.42849451663128,170.73344898919885,185.63979744018047,195.68501693589383,203.6956761735806,209.80080772731648,214.99736623580915
0,1,3.5528246227108027,16.795969224641347,20.142486898647306,19.803918621982863,20.573819217978198,18.03239130055392,17.623935212763353,20.692032679849785,15.2836363198833
0,2,37.77790073302176,97.32073201466854,137.25207940956486,159.00830388233783,171.86642553627576,181.11899971022424,188.102534375247,193.71283825575782,198.6530848543946
0,3,40.06525748403252,104.6824683755234,146.30959276935153,167.25525241338184,180.01409823554317,188.86013384323573,195.71894890191635,201.1819721649238,205.96803326068851
0,4,34.64360251625137,107.89375655227315,160.13641309808855,188.37584232213015,204.84776771668405,216.30907893096864,224.8793183080492,231.99843148905035,237.82781661942923
0,5,28.649258869770865,96.94234019531201,146.32271714193752,173.9197264470318,190.56672213490336,202.47147599922664,211.3156762068903,218.19080300970214,224.10585743214165
0,6,32.633332156706246,148.39261827541242,216.71777601836757,248.66965756170217,267.6800136429022,281.8519358931573,292.9102512783342,302.10880149245247,309.928464071566
0,7,27.631533669289798,89.74999897289152,135.72567042046632,163.0238703136513,179.58938066193764,190.61787850770622,199.1175267910998,205.92440813453257,211.4253267884171
0,8,38.405269557951485,89.55102934039508,122.83127673443929,140.19365606299866,150.61556167257552,158.24206477333848,163.95112192533463,168.2171057161401,172.1152534463141
0,9,25.464058274463916,101.7417619555843,153.75123266910416,179.17626602796108,194.28318062015168,204.88122672851344,213.07377345456788,219.69352414215018,225.55106315801063
0,10,1.7151307281842976,142.5119292292695,192.98250039066934,216.93895890066943,232.02294222720994,241.4143290641148,245.73186977571208,246.58856879288456,4.025552973852342
0,11,21.31395448090667,85.54488064274453,134.0225319523679,164.59660833165398,183.22702027868118,195.94179156630227,205.72826340078484,213.10638443809344,219.30931109880044
0,12,22.199027820623833,91.83051750595708,145.88337851195087,177.78007510986345,195.8846607232162,207.75808853425056,216.55250684062614,223.43017730471502,229.16782028355755
0,13,48.69091051823459,106.6519500172057,139.57304605012197,155.98888801208653,166.2701840202881,173.7296976623156,179.50173757140126,184.10998740653022,187.91402204396405
0,14,14.20959896956205,128.83502159199142,220.57867276131213,277.8715943595064,311.93437704701813,334.1447314346451,351.2556032675426,364.41858302165997,375.05410285802344
0,15,35.05595455649092,114.6313227728844,170.54798525199328,200.02720492099994,216.94560720418764,229.03080215687132,238.38526194635165,245.51590464083412,251.64384285642714
1,0,27.219829975700954,77.97438776292995,115.25260028951274,136.74499465428488,149.27904538519616,158.14832318996784,164.87617550379449,169.83540468416632,2.871751728410232
1,1,29.48044678802535,62.963479222756014,85.34913794630698,97.59745928082472,105.14130033740221,110.69618635906058,114.91038557218606,118.40937938476847,121.3496728288427
1,2,23.20987517318439,62.197433648414936,88.94553849554032,101.95919772755849,109.50569079475031,114.91842506943159,119.14808989067247,123.11769320007879,126.53539429633935
1,3,16.595794374225363,45.45111787586381,67.7744784377924,80.47963343452842,87.93659425631029,93.06340053841122,97.11682574189327,100.33850436889152,103.08316012751379
1,4,26.201882372463817,66.80644713368427,97.11045523312153,113.32533515027808,122.73652484974097,129.03304020128152,133.9403765367745,137.89486066526752,141.23838109715174
1,5,9.21137894302271,31.61021260506964,49.90774602607045,62.79253791657222,70.71296354319932,75.95616718713345,79.7559192351361,82.74329178420297,85.05287637840418
1,6,30.092813446429112,68.86995024564207,96.68577223013317,112.4704515417397,121.93307761197232,128.48993852706946,133.61512922454,137.61187429597703,141.06639893952394
1,7,26.144219725543326,61.14215983567244,86.93127431523683,100.83010346294623,108.87328450918228,114.49617311256576,118.73520644748784,122.31377820890216,125.2839455183241
1,8,19.62237727210304,60.58274866597972,89.97178680618728,105.01951153295192,114.2294484675944,120.72819935445149,125.84860797596095,129.81000399045743,133.25911841957338
1,9,1.8050794404039474,3.481090279964009,3.637834766602755,-154.44653017380747,-133.64092080981152,-61.07093463303999,-147.96953781419774,-43.97943622796287,-28.902938074035834
1,10,7.940813100271819,44.61286843689619,75.71673080946938,95.37743599123955,107.0990324032505,114.62731642822376,120.42487841964075,124.86154484870512,128.62292608464432
1,11,28.556993314256584,70.20805452088908,99.27043441714848,114.16756621734848,122.95541071631855,128.85434322562384,133.5481360633537,137.1266291340155,140.2169337558292
1,12,31.16434910724171,64.97049566023671,68.64475336952317,69.58270849155245,3.540030506881481,-4.736244932167018,8.806651364127163,-15.157729179051067,-8.211326014669606
1,13,19.071167780763105,57.197746762817054,86.10345760888339,102.61279301163901,112.46507401895585,119.26555066204752,124.35149082313305,128.17165889968246,131.60353740652087
1,14,28.753729385046118,57.37499790734419,73.25041279149906,81.32014691645436,86.63527089993629,90.50187606257121,93.54922412223603,96.19205700476729,98.57879820435508
1,15,1.9883933948450114,60.40379622346351,62.09139615655212,3.7127180643788487,13.128640480568075,17.239385675449775,16.23523591628122,-204.81294803157743,-26.540202256412453
2,0,24.256638389995118,53.60748093376455,73.14688524716777,84.20375175110964,90.95586007715903,95.73968077892756,99.57641680183772,102.67577155306239,105.31236970174213
2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,22.658263685143663,75.91983414098824,118.01162571634295,142.93236151261266,157.59984611866543,167.34764254939995,174.62924478069817,180.52881797056054,185.06691964638972
2,3,19.665299321169233,50.275756576524465,74.5870432396961,89.82744047012196,98.91627465314416,105.13364591279294,109.89366563656651,113.5506014830358,116.60200838437905
2,4,27.482936673043184,60.89869246991871,83.86704252584153,96.03742827866581,103.48480857554576,108.71721307229194,112.67766784010524,116.06175869860293,118.75136527321641
2,5,17.357132927029745,51.98173955497435,80.20901509614274,98.30681994293866,111.62114089904753,119.72711473255883,125.5924956461667,129.78814575032382,133.3829945052511
2,6,10.064100268520388,45.94250713624774,74.35052835177041,92.90145653682606,104.01435621003702,111.03306832142508,116.40351127323474,120.47495803757063,123.76327065509022
2,7,23.16648058088304,63.31533228501875,92.90741781192943,109.57391825668208,119.5542654137177,126.53140843019648,131.7659677214762,136.03189136404814,139.50762340554502
2,8,37.78910872555887,101.02034615811192,140.3231824749128,159.71691555808638,171.49048941252263,179.91086532659625,186.49185805845286,191.8590359722864,196.25954996538877
2,9,38.659938934132825,86.54010675069173,119.68794067298393,137.17559468733188,147.87058456997644,155.29763893268114,160.86706502310813,165.57812550104785,169.6112731630205
2,10,25.498920796358416,64.31371292460337,90.09464436694881,102.8659989851988,110.3926333772158,115.65783199653505,119.82030510846232,123.27072431770588,125.95304838764521
2,11,-30.37200015532018,-38.33133806884157,2.2009917344565113,24.393271016166892,-41.61057862360923,-37.58288858220248,-37.84606641467949,-42.0822874865092,-31.674334828037917
2,12,35.351100340594115,65.30892570101487,81.22748063907999,89.83912834152709,95.38870353539083,99.73242285741232,103.07385474819674,105.86470778536729,108.32094788582941
2,13,28.439564868464043,82.36050885582152,122.86224450894157,145.79021243859623,159.43516548001517,168.60780550436868,175.61471512656516,181.18351575928176,185.7596503485239
2,14,24.032635321665804,58.632801519799976,82.1403472918773,93.63822906382678,100.60977913218474,105.4542833540036,109.14837700649939,112.23466367473895,114.85555400125993
2,15,23.088652041589523,50.40008309452307,68.66586302240779,78.75825877792059,85.10356811285723,89.70699908936523,93.40013859318546,96.66268266548127,99.64805095339183
3,0,11.00896429305131,37.32669371625184,56.22690524367573,68.01777349189598,221.59021975606876,1.3360284165832075,73.54275441972952,3.580257389550109,-67.58724296614582
3,1,29.876715561989712,63.16149299903417,86.73619938107628,98.99690154600107,105.97733451397775,110.62344602323824,114.53920816217918,117.62306722273665,120.31651423323167
3,2,30.42753400331857,72.78070778330975,99.64503445714799,113.12044314743336,121.38485544286682,127.52539608451826,132.2872669682405,136.09050446818256,139.40571992000406
3,3,21.975299138547012,55.42571287641394,78.90967960472216,91.02926513254495,97.27179378509814,95.92454117232587,94.74312982539936,95.58141310094399,2.239454137904847
3,4,35.57637388334315,71.24080806272529,95.66336018475997,109.72061137267077,118.37592789068171,124.59545991576064,129.33072012593323,133.21288418177252,136.63816967203923
3,5,23.64072751148187,62.00521650784491,91.65352284594024,108.53663375952881,118.32082869113412,125.04261625669497,130.2928123471847,134.77021246773396,138.66973947098157
3,6,17.260514439516417,53.6746169233321,78.77685436078814,91.05219578691187,98.2830408534449,103.4090929829632,107.23404646309609,110.42769751563148,113.20430952017591
3,7,10.358675921498843,40.263133240068534,63.635492389341394,77.87592538282155,86.13133906566745,91.69997177905171,95.78667150656555,98.98340372426968,101.59843998422691
3,8,18.881589591754313,52.587501897243705,75.447014952207,84.97750439261823,-76.45144547268725,2.6819566988925545,3.5185393938732346,-64.88805179829627,-65.76833114185328
3,9,28.37308789078994,47.36015770436127,58.34531550112813,64.70952999717919,69.10089084483988,72.32057926564936,104.33112852104136,77.59551019844456,79.88284878648975
3,10,11.743341066188654,39.01265978531262,60.42484204381508,74.52366719790328,82.96824356378909,88.52148978617983,92.72196578175596,95.94864800679454,98.60072974498485
3,11,35.310268688672025,72.20596301284178,98.20705738186186,112.96787609649071,122.27946184542557,128.9292699989028,134.26256926597065,139.02094058440875,143.12494960681397
3,12,26.781864082539563,68.6822638227864,97.72634377273323,114.54096991561917,124.55714867200905,131.4337741536094,136.8107671082452,141.41812395047853,145.66247605205228
3,13,29.10935143424239,68.3886884601887,94.76096921868678,108.52355133452366,116.70246717372181,122.5347680020779,126.73160608422981,130.1723388087893,133.24926218085398
3,14,21.554003714715567,49.424307440242856,69.74703916663351,81.39545384494097,88.77661255840555,94.14882550957861,98.05757844368763,101.5115326987887,94.72036952585405
3,15,26.972581320434017,59.57914658329039,81.09167486803149,91.88849768829466,98.65362551541955,103.58213153567577,107.37413051962183,110.4674931820707,113.14220490058443
4,0,26.384923454322525,53.31169250276452,67.03389020270765,74.02279040736157,78.64308335074784,82.10796326002206,85.04040979672477,87.36108225138216,89.39877146986245
4,1,20.784745751923122,41.112400522638225,53.789632261303574,60.839794415717485,65.42720762361097,68.95336300866093,65.8389942032857,74.2921774056439,76.43279985588565
4,2,26.590937227330812,63.28776409236129,86.20809664490662,97.50722593105435,104.60211989879821,109.7493181891804,113.81650090253996,117.0248733173618,119.82917132139626
