row,col,ToT_mean_200mV,ToT_mean_300mV,ToT_mean_400mV,ToT_mean_500mV,ToT_mean_600mV,ToT_mean_700mV,ToT_mean_800mV,ToT_mean_900mV,ToT_mean_1000mV
0,0,58.870175339064176,122.20725004945008,163.45678869014233,185.30523121373528,198.56499475570027,208.1905351245039,215.7973217941592,221.95862810789976,226.76100211558858
0,1,53.1626330673449,113.68693005784148,157.71686813317598,182.2099808671836,196.81777118031076,206.26118610469223,213.25964422601248,212.79277289561244,211.49963123788243
0,2,67.01128532463696,118.13351009021979,152.4817826775212,171.42942307524004,183.54170996867322,192.07862026556742,198.76307402692132,204.03054167381887,208.5615969650953
0,3,72.66372743085303,124.87263836558346,161.21714612692372,179.47806790617773,191.13750361222665,199.57910043964583,206.1435059801004,211.642300349542,215.9685341269627
0,4,61.72322953213006,134.33126312010396,180.2800608711063,204.39601493090774,219.5512118604218,230.1574419062078,238.5409064807837,245.19805218027977,251.0435649125848
0,5,56.45221954650766,121.31336573007164,165.8570872596262,190.81151796913034,206.08718673976782,217.12325352284878,225.3235199717025,232.06159034186058,237.96432926676258
0,6,71.12244353346946,182.95429488690309,241.37839399249674,269.6615311661368,287.63697928260603,301.16334504662916,312.3680989306053,321.29897861719314,328.719806574158
0,7,52.96185144659658,111.25517279010035,153.5522196202411,177.4946627153324,192.47325576796658,203.12951124900155,210.97793194871008,217.59107789097672,222.87523863677742
0,8,58.20686930985002,106.33221174010562,135.67817825738484,150.97138934405493,160.7610198171068,167.8001527437898,173.28562556633054,177.61239132996684,181.1359475644138
0,9,55.123562959492276,128.9158560399617,174.17500142187694,196.60791654303284,210.5676878659753,220.75343957851803,228.7973653747091,235.26400794668254,240.4664263225406
0,10,90.1906411092446,169.97485512432877,213.5495241046502,234.87059389651228,248.84985669429915,259.493053251609,267.7918886095741,274.24162930123697,280.1100688281803
0,11,50.632316824555275,110.88918133195737,155.42271327524637,182.925768890275,199.93647071963613,211.97193251659513,221.39807838486888,228.63455833720732,234.5338230258832
0,12,54.3321864306096,118.79375337938419,167.85785778393503,195.6237199986274,211.5575995117932,222.87393867607835,231.4981983568983,238.2854871338338,243.65549477775795
0,13,70.65462368986775,124.26809723784065,153.28192857442195,167.84132445902372,177.55940798181163,184.47951186736998,190.22896690409658,194.55364142014207,198.15094109683014
0,14,63.13710149659077,173.1111555139446,258.8570354619677,310.2823113981971,341.53765753270665,362.67182869118625,378.7192469890446,391.2454182272575,401.95523035455204
0,15,67.50293752057792,142.2709434117363,192.38962837612152,217.8421408031039,233.62467884233183,245.17877122588675,254.02130776432924,260.8432580139571,266.9588739503946
1,0,49.82014473002628,97.15314201442173,131.530734422848,150.43339668426574,162.0362002602261,170.49093470281795,176.6249577101083,181.94402768287952,186.05688951919834
1,1,41.835322835743824,74.59970728118702,94.51275825523925,105.21637177935793,112.30968447948251,117.48851030288597,121.33194385003581,124.86136383867974,127.46454616803365
1,2,38.01697787975035,75.44806195560244,97.92761012505692,109.15207704746553,116.22362003694371,121.09668085596451,125.17837293836865,129.07846124601386,131.86132659504423
1,3,29.564343576981635,57.56865763084265,76.88312487718636,87.63308330921255,94.04007150041637,98.9059547504298,102.56915628526667,105.59505625319126,108.29959836219697
1,4,42.24053889269904,81.97668061582104,109.2415067871709,123.35262882369112,132.02490935276592,138.1464284584979,142.87297522719462,146.65107163301772,150.04112043194763
1,5,18.88237299293705,40.28891071642922,57.68586688917013,69.1395903944803,76.35087013501588,81.05742926557707,84.72901835371968,87.58765084515173,89.85558285221768
1,6,47.093592400297794,83.63555184603536,108.78086631530165,122.72364949371452,131.46143933123713,137.78863023387876,142.77957836263,146.654970731778,149.98875786217982
1,7,40.28964180177233,74.40625001249501,96.84206254633611,108.78851699558498,116.18036962462128,121.56534794936371,125.79368727668674,129.05402031944135,131.91656590513352
1,8,35.049398158404564,75.52310899006942,100.87992638223429,114.15368283838382,122.85030190111566,128.86139333172375,133.77706160716968,137.76268056676395,141.08361005952256
1,9,25.827927833774623,56.265196898181166,77.47306365082599,89.53913904988737,96.94165106962362,102.20237417186488,106.26614835202152,109.59497231321893,112.4397436525136
1,10,23.234342434674808,59.585337822976875,88.72455302529556,106.2730056018827,116.93797530552537,124.13899255769095,129.61023049056755,133.9036446556596,137.5671391811509
1,11,45.25509193182985,84.988525927476,110.95784224047522,124.13726998911218,132.25255707286294,138.00175006763675,142.58184815635394,145.97118164995712,149.04493455765757
1,12,44.94766924267703,79.15627592347268,101.80573576106701,113.28500366361627,120.50827707432758,125.85049177562563,130.0942906218885,133.72235723492724,137.10489704553373
1,13,35.28260103537283,71.87936727608306,97.96734109048758,112.544903316713,121.88510874848136,127.89922006852163,132.95327958230803,136.63789742325045,139.77655747865805
1,14,39.33565102035023,65.24152678138918,78.72284671887046,86.08232111805857,91.36456540844955,95.50159188564095,98.43541040749156,100.99942724120567,103.18812725491316
